
mm/dd,2003:LWG:tempc (C),2002:LWG:tempc (C),2001:LWG:tempc (C),2000:LWG:tempc (C),1999:LWG:tempc (C),1998:LWG:tempc (C),1997:LWG:tempc (C),1996:LWG:tempc (C),1995:LWG:tempc (C),1994:LWG:tempc (C),1993:LWG:tempc (C)
1/27,4.368,3.645,3.092,3.779,3.358,11.800,NA,NA,NA,1.708,2.863
1/28,4.388,3.496,3.035,3.613,3.229,10.179,NA,NA,NA,1.583,2.933
1/29,4.538,3.351,3.192,3.517,3.074,11.871,NA,NA,NA,1.567,2.442
1/30,4.900,3.336,3.295,3.604,3.000,11.217,NA,NA,NA,1.438,2.158
1/31,5.318,3.386,3.410,3.629,3.117,12.142,NA,NA,NA,1.288,2.471
2/1,5.264,3.461,3.397,3.588,3.267,11.608,NA,NA,NA,1.246,2.179
2/2,5.201,3.415,3.329,3.383,3.383,11.778,NA,NA,NA,1.167,2.083
2/3,5.479,3.187,3.285,2.979,3.400,NA,NA,NA,NA,1.108,1.900
2/4,5.443,2.831,3.298,2.921,3.458,12.254,NA,NA,NA,1.146,2.733
2/5,5.272,2.713,3.191,3.208,3.521,12.225,NA,NA,NA,1.225,2.129
2/6,5.177,2.661,3.131,3.783,3.644,11.800,NA,NA,NA,1.271,2.121
2/7,5.040,2.738,3.091,3.850,NA,12.071,NA,NA,NA,1.163,2.275
2/8,5.003,2.836,3.038,3.800,NA,11.800,NA,NA,NA,0.967,2.896
2/9,4.850,2.736,3.065,3.733,NA,12.258,NA,NA,NA,1.171,2.579
2/10,4.770,2.733,3.071,3.713,NA,12.271,NA,NA,NA,1.504,2.921
2/11,4.626,2.880,3.048,3.771,NA,11.817,NA,NA,NA,1.438,2.583
2/12,4.454,2.996,3.048,3.867,NA,11.579,NA,NA,NA,1.542,2.483
2/13,4.135,3.222,2.984,3.988,NA,11.042,NA,NA,NA,1.692,2.721
2/14,4.014,3.525,2.859,4.179,NA,14.179,NA,NA,NA,1.550,2.350
2/15,3.980,3.480,2.678,4.133,NA,12.138,NA,NA,NA,1.571,1.892
2/16,4.063,3.477,2.327,3.950,NA,13.671,NA,NA,NA,1.792,1.329
2/17,4.005,3.386,2.207,4.017,NA,13.188,NA,NA,NA,1.725,1.325
2/18,4.003,3.393,2.250,4.221,NA,11.469,NA,NA,NA,1.604,1.233
2/19,4.055,3.401,2.368,4.254,NA,15.850,NA,NA,NA,1.467,1.742
2/20,4.028,3.285,2.640,4.388,NA,15.572,NA,NA,NA,1.512,1.060
2/21,4.163,3.358,2.732,4.554,NA,15.742,NA,NA,NA,1.540,1.992
2/22,4.374,3.505,2.840,4.429,NA,15.908,NA,NA,NA,1.488,2.029
2/23,4.618,3.507,2.905,4.329,NA,14.288,NA,NA,NA,1.729,1.983
2/24,4.705,3.676,3.136,4.238,NA,14.688,NA,NA,NA,1.379,1.371
2/25,4.786,3.634,3.309,4.442,NA,14.679,NA,NA,NA,1.146,1.888
2/26,4.818,3.733,3.338,4.962,NA,16.010,NA,NA,NA,1.179,1.533
2/27,4.944,3.768,3.663,5.158,NA,15.521,NA,NA,NA,1.229,2.279
2/28,4.924,3.824,3.847,5.167,NA,15.467,NA,NA,NA,2.013,1.658
2/29,NA,NA,NA,5.179,NA,NA,NA,NA,NA,NA,NA
3/1,4.813,3.720,3.909,5.554,NA,14.888,NA,NA,NA,2.975,1.775
3/2,4.554,3.501,3.954,5.663,NA,14.538,NA,NA,NA,3.858,2.808
3/3,4.233,3.069,4.276,5.567,NA,11.425,NA,NA,NA,4.900,1.958
3/4,3.936,3.035,4.291,5.771,NA,10.192,NA,NA,NA,4.858,2.833
3/5,3.921,3.027,4.718,5.933,NA,10.088,NA,NA,NA,4.796,2.958
3/6,4.072,2.980,4.762,6.108,NA,10.329,NA,NA,NA,5.329,2.916
3/7,4.260,3.094,4.650,6.621,NA,11.129,NA,NA,NA,6.208,2.935
3/8,4.516,3.155,4.468,6.633,NA,10.846,NA,NA,NA,6.733,3.447
3/9,4.742,3.264,4.346,6.338,NA,10.857,NA,NA,8.000,6.733,2.863
3/10,4.992,3.297,4.232,6.217,4.900,10.600,NA,NA,4.670,6.613,3.204
3/11,5.165,3.397,4.345,6.321,4.975,NA,NA,NA,5.490,6.475,2.338
3/12,5.139,3.694,4.654,6.425,5.008,NA,NA,NA,6.590,6.533,2.475
3/13,5.514,3.964,4.932,6.600,5.288,NA,NA,NA,7.213,6.179,2.579
3/14,6.048,4.032,5.346,6.662,5.642,NA,NA,NA,7.743,6.192,1.867
3/15,6.150,4.133,5.628,7.004,5.909,NA,NA,NA,22.778,6.296,3.200
3/16,NA,4.678,5.655,6.708,6.429,NA,5.750,NA,7.600,6.492,2.605
3/17,6.700,4.675,5.743,6.796,6.650,NA,5.717,NA,7.429,6.525,2.225
3/18,6.949,4.734,5.857,6.938,6.679,NA,6.063,NA,7.654,6.788,2.614
3/19,6.942,4.749,6.005,6.854,6.670,NA,6.696,NA,7.822,6.871,3.829
3/20,7.202,4.780,6.235,6.708,6.608,NA,7.033,NA,7.750,7.033,2.867
3/21,7.239,4.821,6.300,6.442,6.800,NA,7.404,NA,7.917,7.246,2.975
3/22,7.200,4.771,6.316,6.342,7.104,NA,7.204,NA,8.008,7.238,3.817
3/23,7.105,4.664,6.402,NA,7.013,NA,7.038,NA,8.063,7.337,3.063
3/24,7.256,4.619,6.710,6.892,7.163,NA,7.104,NA,7.989,7.208,2.717
3/25,7.351,4.578,6.861,7.078,7.329,NA,7.425,NA,7.950,7.037,3.329
3/26,7.321,7.639,6.805,7.829,7.413,8.109,7.679,NA,7.927,7.108,3.100
3/27,7.193,8.119,6.938,7.827,7.642,7.992,8.108,NA,8.580,7.571,3.210
3/28,7.223,6.916,7.103,7.566,7.371,7.688,8.271,NA,8.211,7.650,3.758
3/29,7.344,6.075,7.663,7.642,7.133,7.550,8.162,NA,8.269,7.467,2.825
3/30,7.365,6.543,7.876,8.335,6.996,7.654,8.113,NA,8.194,7.825,2.879
3/31,7.237,6.785,7.787,8.478,6.996,7.646,8.221,NA,8.209,7.971,3.335
4/1,7.242,6.511,7.368,8.331,6.896,7.800,8.210,NA,7.960,8.671,3.100
4/2,7.809,6.744,7.415,8.063,7.196,7.938,8.294,7.400,8.110,9.429,7.778
4/3,8.319,7.455,7.503,8.691,7.250,8.088,8.242,7.825,8.635,9.448,7.778
4/4,8.102,7.544,7.727,8.750,7.404,8.325,7.736,8.054,8.900,9.550,8.333
4/5,7.332,7.183,7.902,9.197,7.878,8.630,7.546,7.742,9.363,9.850,8.333
4/6,7.154,7.155,7.795,9.277,7.854,8.700,7.613,7.667,9.513,10.371,8.333
4/7,7.293,7.395,7.679,9.221,8.100,8.775,7.671,8.274,9.642,10.192,8.333
4/8,7.430,7.725,7.578,9.079,8.013,9.117,7.764,8.783,9.467,10.500,7.778
4/9,7.523,7.949,7.868,8.501,8.063,9.471,7.825,9.178,9.883,10.221,8.887
4/10,8.109,7.770,8.053,8.934,8.292,9.629,7.867,9.233,10.238,9.896,9.365
4/11,8.686,8.063,8.282,9.563,8.642,9.400,7.967,9.008,10.046,10.445,9.371
4/12,8.867,8.049,8.259,10.021,8.258,9.433,7.959,8.461,9.655,10.818,9.335
4/13,9.354,8.093,8.189,9.995,8.217,9.665,7.613,8.275,9.248,10.109,9.254
4/14,9.263,8.129,8.410,9.915,8.596,9.763,7.542,8.271,9.038,9.783,9.375
4/15,9.115,8.436,8.937,9.899,9.117,9.658,7.808,8.271,8.954,10.775,9.400
4/16,9.016,8.117,8.994,9.419,9.417,9.467,7.833,8.624,8.800,11.296,9.750
4/17,8.779,7.082,8.763,9.322,9.608,9.367,7.953,8.758,8.750,11.617,10.063
4/18,8.615,7.012,8.837,9.488,9.688,9.679,8.300,8.988,8.667,12.433,9.804
4/19,9.044,7.595,9.273,9.962,9.925,9.554,8.214,9.750,8.825,11.842,9.905
4/20,9.248,7.794,9.838,10.573,9.971,10.196,8.104,9.467,8.996,12.921,10.180
4/21,9.153,7.843,10.169,11.048,9.863,10.696,8.158,9.446,8.988,13.317,10.348
4/22,9.137,8.123,10.399,10.688,9.508,10.925,7.913,9.163,9.138,13.321,10.324
4/23,9.815,8.427,10.803,10.688,9.338,10.850,8.004,NA,9.367,13.075,10.410
4/24,9.988,9.129,11.275,10.435,9.792,11.110,8.243,9.479,9.729,11.996,10.446
4/25,9.944,9.289,11.841,9.900,10.004,11.392,8.123,9.329,9.800,10.988,10.838
4/26,9.579,9.352,12.025,10.212,10.263,11.192,8.504,9.212,10.442,10.754,10.425
4/27,9.492,9.143,12.387,10.064,10.533,10.592,9.058,8.900,10.754,11.283,10.654
4/28,9.466,9.377,11.930,9.928,10.242,10.488,9.546,9.483,10.829,11.058,11.008
4/29,9.135,9.852,12.281,10.715,10.050,10.829,9.033,9.535,10.554,11.279,10.829
4/30,9.040,9.722,12.151,11.303,9.713,11.242,8.971,9.380,10.446,11.100,10.779
5/1,9.521,9.611,11.485,11.073,9.179,11.283,8.783,9.713,10.433,10.996,10.991
5/2,10.318,10.100,10.218,11.093,9.688,NA,8.746,9.509,10.150,10.963,10.983
5/3,9.940,10.230,10.175,11.343,9.746,NA,8.763,9.543,10.188,10.908,10.997
5/4,9.734,10.579,10.362,11.474,9.758,NA,9.092,9.292,10.092,11.463,10.798
5/5,9.856,10.599,9.557,10.897,9.963,12.583,9.667,9.046,10.079,12.246,11.101
5/6,9.840,10.254,9.524,10.760,10.054,12.438,9.979,9.119,10.154,12.404,10.299
5/7,9.905,9.667,10.810,10.646,10.300,12.383,10.213,8.708,10.196,12.729,10.371
5/8,9.690,9.665,11.232,10.734,10.625,12.363,9.915,8.538,10.142,13.175,10.931
5/9,9.590,9.505,11.387,10.848,10.633,12.267,10.982,8.824,10.296,13.892,11.018
5/10,9.789,9.208,11.690,10.848,10.367,12.046,10.946,9.105,10.592,14.342,11.246
5/11,10.459,9.958,12.401,10.875,9.992,11.800,11.267,NA,11.308,14.717,11.804
5/12,10.662,10.201,12.678,11.155,10.042,12.454,11.546,10.000,11.383,14.883,12.729
5/13,11.207,9.994,12.487,11.161,10.254,12.504,11.646,9.735,11.517,14.725,13.221
5/14,11.145,9.905,12.595,11.467,10.721,12.325,11.671,10.175,11.671,14.783,13.417
5/15,10.830,10.535,12.543,11.828,10.721,11.975,11.392,10.371,11.517,14.038,13.121
5/16,11.223,11.726,12.115,12.008,10.796,11.804,11.371,9.983,11.525,13.350,12.638
5/17,11.346,11.750,11.225,12.523,10.979,11.863,11.379,9.232,11.913,12.879,12.358
5/18,10.703,11.653,10.830,13.388,11.063,12.208,10.963,8.892,12.413,12.533,12.382
5/19,10.637,11.745,10.866,14.028,11.442,12.575,10.950,9.121,12.900,12.400,12.396
5/20,10.298,11.778,10.862,14.008,11.763,13.108,10.996,8.921,13.133,11.946,12.600
5/21,10.079,11.659,12.143,13.885,11.896,13.288,11.329,8.817,13.213,12.300,12.612
5/22,10.237,11.003,12.616,13.526,12.592,13.292,11.517,9.041,13.250,12.442,12.496
5/23,11.233,9.785,13.443,13.508,13.217,12.533,11.508,9.259,13.563,12.783,12.267
5/24,11.589,9.467,13.679,13.769,12.858,11.821,11.492,9.700,13.600,13.546,12.555
5/25,12.462,9.653,14.456,13.603,12.475,11.721,11.342,10.130,13.375,14.179,12.830
5/26,12.842,10.390,15.090,13.126,12.454,11.854,10.954,10.381,13.388,14.013,13.663
5/27,11.980,11.520,15.364,12.762,11.713,11.546,11.052,11.236,13.471,14.592,13.955
5/28,11.463,11.617,15.256,12.655,11.504,11.588,11.858,11.785,13.396,14.850,13.954
5/29,11.992,12.162,15.064,12.902,11.467,11.888,12.329,11.783,13.825,14.750,14.179
5/30,12.135,12.804,14.980,12.913,11.604,12.358,12.633,11.143,14.254,14.896,14.029
5/31,11.849,12.379,15.571,12.800,11.579,13.025,12.704,10.988,14.938,15.049,13.846
6/1,11.755,11.943,15.570,12.974,11.333,13.108,12.588,11.117,15.338,14.667,13.808
6/2,11.895,11.926,14.807,12.473,11.479,13.817,12.511,11.565,15.021,15.442,13.913
6/3,12.172,11.773,14.603,12.530,11.704,14.225,12.300,12.322,14.767,15.950,14.183
6/4,12.957,11.835,14.685,13.887,11.221,14.450,12.083,12.625,14.517,16.004,14.138
6/5,13.161,12.152,14.820,14.160,10.929,14.054,11.854,12.663,14.150,16.554,14.096
6/6,13.403,12.505,15.044,14.797,11.117,14.313,11.917,12.495,13.346,16.163,13.888
6/7,14.104,12.632,15.454,15.415,11.458,13.992,12.133,12.238,12.813,16.363,14.113
6/8,14.056,12.288,15.257,15.574,11.413,14.325,12.604,12.538,12.113,17.008,14.388
6/9,14.525,12.057,14.036,15.580,12.104,14.496,13.200,12.917,12.308,17.345,13.925
6/10,14.474,11.835,14.070,15.592,11.996,14.563,13.950,12.713,12.788,18.088,13.307
6/11,14.571,11.529,14.505,15.277,12.408,15.471,13.917,12.575,13.417,18.417,13.363
6/12,14.845,11.595,14.314,14.870,13.217,15.533,13.488,12.800,14.300,17.263,13.875
6/13,15.050,12.504,14.983,14.062,13.863,15.433,13.109,13.025,15.104,17.517,14.308
6/14,15.087,13.600,15.253,14.124,14.367,15.471,13.088,13.367,15.604,17.560,13.803
6/15,15.305,14.211,15.180,13.975,14.217,15.463,13.746,13.804,15.621,17.658,14.168
6/16,15.884,14.839,15.190,14.846,14.275,15.654,14.629,14.017,15.354,18.138,14.917
6/17,16.968,14.800,14.746,15.882,14.721,15.692,14.929,13.708,15.050,18.588,15.633
6/18,16.578,15.000,14.953,15.815,14.138,14.842,14.800,13.379,14.796,17.604,16.033
6/19,16.610,14.803,16.196,15.739,13.979,14.738,14.804,13.333,14.575,17.500,16.000
6/20,16.760,14.336,16.959,16.176,14.063,15.863,15.267,12.900,14.129,17.242,16.417
6/21,16.967,13.697,17.748,16.949,14.063,16.271,15.542,12.891,13.550,16.996,17.008
6/22,16.740,14.273,17.113,16.735,14.292,15.917,15.588,12.992,13.596,17.393,17.179
6/23,16.430,14.063,17.040,17.063,14.621,15.783,15.592,13.179,14.279,19.753,17.088
6/24,16.151,14.341,17.542,17.705,14.571,16.142,15.860,13.496,15.142,19.138,16.638
6/25,16.695,14.935,17.953,17.989,14.633,16.329,16.159,13.317,15.817,19.850,16.284
6/26,17.287,15.586,18.902,18.873,14.754,16.217,16.721,13.465,16.458,20.079,16.471
6/27,17.330,15.676,19.218,19.289,14.717,16.183,16.829,13.733,17.025,20.442,15.892
6/28,17.800,16.263,19.353,20.116,14.892,15.904,16.950,13.908,17.700,21.492,16.108
6/29,19.681,16.714,19.198,19.844,15.175,16.188,17.288,14.188,18.117,21.133,16.711
6/30,18.584,16.903,19.103,20.206,15.638,16.683,17.521,14.863,17.938,20.879,17.438
7/1,18.371,16.813,19.075,19.704,15.796,17.138,17.500,15.821,17.792,20.654,17.651
7/2,18.817,16.961,20.514,19.683,16.050,18.288,17.271,16.292,17.663,20.733,17.663
7/3,19.290,16.371,22.000,19.760,16.179,18.371,16.813,16.600,17.608,21.100,17.400
7/4,19.635,16.559,22.064,19.735,16.117,18.875,16.389,16.650,17.817,21.204,17.477
7/5,19.729,16.913,21.542,19.717,16.675,19.183,17.005,17.070,17.563,21.079,17.461
7/6,19.954,17.685,21.565,19.541,16.754,19.096,17.570,17.796,17.617,21.346,17.325
7/7,20.125,18.617,22.409,19.998,15.996,20.388,17.888,17.883,17.775,22.008,17.067
7/8,20.556,18.084,22.466,20.238,16.329,20.396,18.455,17.774,18.579,22.021,18.192
7/9,20.912,18.997,22.403,19.519,18.013,21.142,18.838,17.971,19.379,20.983,17.313
7/10,21.745,19.405,23.601,19.316,18.538,21.321,18.692,17.867,19.338,20.392,17.104
7/11,21.567,19.982,24.264,19.634,18.833,20.908,18.768,18.087,19.950,20.742,17.346
7/12,20.906,20.186,23.875,19.746,19.292,20.988,18.342,18.367,20.225,20.267,17.675
7/13,20.311,21.703,24.898,19.090,19.467,20.775,18.233,NA,20.067,19.425,17.800
7/14,20.819,20.172,22.914,19.070,19.533,20.821,18.813,NA,20.267,19.070,17.925
7/15,21.623,20.398,21.231,19.638,19.946,20.371,18.540,NA,20.142,18.588,17.663
7/16,20.783,20.649,21.048,20.444,20.096,20.571,18.883,19.838,21.246,20.738,17.498
7/17,20.412,21.036,21.822,20.652,19.883,21.496,19.791,19.975,21.154,20.850,17.608
7/18,21.520,20.670,21.537,19.835,20.179,20.513,19.343,19.983,21.725,19.275,17.675
7/19,21.921,20.820,21.507,20.088,20.508,20.763,19.225,19.750,21.783,19.483,17.508
7/20,20.958,21.275,21.343,19.809,20.408,21.279,19.275,19.800,21.367,19.425,17.142
7/21,21.434,21.776,21.468,21.460,21.158,21.992,18.980,19.743,21.350,NA,17.533
7/22,22.526,22.876,21.791,21.384,20.838,21.933,18.763,20.500,21.446,NA,18.071
7/23,22.955,23.718,21.810,20.522,20.071,21.829,18.875,21.450,21.388,19.243,18.075
7/24,22.073,24.377,21.057,21.135,19.346,20.883,19.171,21.288,21.150,19.530,18.138
7/25,22.063,23.924,20.892,21.076,19.500,20.350,19.263,21.013,21.363,19.879,18.254
7/26,22.451,21.776,21.409,20.122,20.146,22.425,19.375,21.808,20.904,18.615,18.317
7/27,23.888,21.067,21.764,20.194,20.458,22.329,19.956,21.713,20.867,18.930,19.029
7/28,24.335,20.664,21.193,21.244,20.054,21.633,19.855,21.833,21.213,19.188,18.950
7/29,24.646,20.707,20.723,21.162,19.908,22.192,19.391,21.425,20.558,18.933,18.046
7/30,25.055,20.971,20.930,21.535,20.083,21.208,19.050,21.825,20.442,18.425,18.517
7/31,24.864,20.724,21.011,21.035,20.750,20.763,20.067,21.338,20.804,19.154,19.396
8/1,24.448,21.315,21.241,20.643,21.325,20.379,19.817,21.338,20.992,20.875,19.984
8/2,23.625,21.224,21.440,21.092,21.213,20.958,20.084,20.913,20.192,20.170,20.120
8/3,23.760,21.101,20.891,21.948,20.667,22.167,20.141,20.825,20.113,20.533,20.406
8/4,23.843,20.467,19.667,21.723,21.833,22.146,19.842,20.650,20.496,22.676,20.058
8/5,23.785,20.240,21.206,22.160,20.663,22.071,19.757,20.435,20.988,21.036,20.013
8/6,23.196,20.278,21.437,22.658,20.292,22.408,20.609,20.229,20.550,21.075,21.050
8/7,21.513,19.860,21.040,21.954,20.258,21.913,19.600,20.329,20.750,22.817,19.780
8/8,22.088,19.243,20.751,22.575,21.096,22.392,19.592,20.942,20.683,22.654,19.388
8/9,22.168,19.953,21.370,23.539,21.375,22.813,19.892,21.092,20.742,22.796,19.205
8/10,21.812,20.452,22.747,22.301,21.467,22.100,19.721,21.496,20.813,23.563,19.310
8/11,21.298,19.601,23.674,20.673,22.013,21.617,19.582,20.863,20.329,24.188,19.300
8/12,21.445,19.490,24.184,21.209,20.221,21.542,20.286,20.442,19.933,24.367,20.123
8/13,21.993,19.744,24.283,21.307,19.883,22.867,20.100,21.000,19.863,24.395,20.300
8/14,22.488,19.412,24.430,21.091,20.254,23.400,19.188,21.229,20.096,24.333,20.341
8/15,22.832,19.698,24.210,21.140,20.204,21.629,19.396,20.988,20.000,23.692,20.508
8/16,21.638,19.422,24.723,20.885,19.842,21.283,19.883,20.971,19.763,23.663,20.825
8/17,21.750,20.015,24.562,21.113,20.454,21.129,19.788,20.692,19.129,23.979,20.938
8/18,22.250,20.070,21.783,20.059,21.188,21.067,19.296,20.421,19.213,24.160,21.546
8/19,22.648,20.068,21.483,19.689,19.100,21.171,20.287,20.396,19.233,24.233,21.842
8/20,21.822,19.444,22.094,19.745,19.854,21.054,20.780,19.875,19.425,24.142,21.428
8/21,22.380,19.735,21.906,19.978,19.671,20.521,20.392,19.608,19.242,23.888,21.183
8/22,22.603,20.206,21.637,20.370,20.083,20.263,20.467,19.883,18.713,23.642,21.546
8/23,21.815,20.619,21.132,20.856,21.050,20.096,20.820,20.217,18.525,23.875,21.707
8/24,21.731,20.629,20.886,20.382,21.138,20.750,21.116,20.017,18.346,23.771,21.754
8/25,22.084,20.205,21.164,20.194,21.388,21.225,21.067,19.839,19.158,23.729,21.525
8/26,22.186,19.211,21.722,18.915,21.071,20.691,20.950,19.196,18.971,23.608,21.500
8/27,21.153,19.362,21.412,18.675,21.425,20.983,20.621,18.246,18.992,23.546,21.545
8/28,21.598,20.633,21.299,19.236,21.758,21.967,20.508,17.983,18.950,23.425,21.246
8/29,21.751,21.547,21.919,19.569,21.175,21.513,20.558,18.604,18.738,23.096,21.296
8/30,21.760,20.114,22.431,19.289,20.142,21.500,20.583,17.996,19.413,23.238,21.567
8/31,22.151,19.507,21.739,19.080,20.154,22.108,20.783,16.988,19.767,23.490,21.283
9/1,22.079,19.047,21.175,18.884,20.367,22.567,21.850,16.854,19.517,23.396,21.002
9/2,22.135,19.497,20.994,19.004,20.088,22.513,21.946,17.113,19.938,22.985,20.969
9/3,22.475,19.396,21.161,19.086,19.788,22.638,21.992,17.542,20.400,22.700,21.455
9/4,22.144,19.070,21.108,18.945,19.904,22.554,22.057,17.346,19.767,22.496,20.910
9/5,21.945,19.173,20.738,18.697,19.933,22.475,22.271,17.063,19.496,22.613,20.875
9/6,22.274,19.098,20.473,18.907,19.229,22.942,22.221,17.688,19.825,22.867,20.920
9/7,21.771,18.900,20.455,19.135,18.763,23.025,22.254,18.146,19.946,22.788,21.031
9/8,20.590,19.020,20.539,18.980,19.058,22.908,22.296,18.271,20.046,22.625,21.729
9/9,20.596,19.116,20.507,18.676,19.238,22.792,22.450,18.404,20.650,22.208,21.617
9/10,20.522,19.182,20.503,18.494,18.504,22.708,22.363,18.829,20.717,22.086,21.733
9/11,20.192,19.303,20.622,18.518,18.279,22.750,22.029,19.308,20.679,21.988,21.225
9/12,19.726,19.310,20.607,19.014,18.558,22.767,21.825,19.013,20.871,21.842,20.904
9/13,19.639,19.310,20.240,19.408,18.829,22.604,21.746,18.371,20.817,21.579,20.779
9/14,19.668,19.254,20.540,19.691,19.167,22.521,21.588,18.336,20.900,21.433,20.554
9/15,19.340,19.179,20.980,19.257,19.383,22.554,21.450,18.558,20.675,21.425,20.400
9/16,18.725,18.437,20.856,19.097,19.188,22.450,21.329,18.300,20.554,21.596,20.259
9/17,18.307,18.352,20.865,19.421,19.121,22.313,20.988,18.075,20.321,21.592,20.270
9/18,18.261,18.356,20.416,19.721,19.167,21.679,20.492,NA,20.200,21.525,20.221
9/19,18.228,18.510,20.121,20.022,19.492,21.546,20.129,NA,20.313,21.588,20.021
9/20,17.941,18.831,20.308,20.040,19.717,21.392,19.929,NA,20.267,21.554,19.696
9/21,17.926,18.673,20.396,19.850,19.675,21.375,19.883,NA,20.100,21.258,19.544
9/22,18.364,18.791,20.418,19.623,19.625,21.413,19.721,NA,19.938,21.200,19.361
9/23,18.258,18.907,20.536,19.391,19.417,21.358,19.558,NA,19.829,21.371,19.292
9/24,18.464,18.713,20.368,19.270,19.004,21.104,19.342,NA,19.546,21.246,19.167
9/25,18.453,18.410,20.186,19.125,18.688,20.708,19.296,NA,19.275,21.117,18.842
9/26,18.489,18.356,19.892,18.978,18.396,20.458,19.209,NA,19.025,21.071,18.708
9/27,18.876,18.193,19.744,18.778,18.204,20.354,19.025,NA,19.017,21.004,18.650
9/28,18.923,18.191,19.564,18.572,18.013,20.438,19.283,NA,18.646,20.946,18.583
9/29,18.926,18.020,19.540,18.088,17.913,20.171,19.492,NA,18.046,20.867,18.400
9/30,18.684,17.608,19.560,17.845,17.863,20.004,19.367,NA,17.992,NA,16.111
10/1,18.915,17.351,19.365,17.283,17.604,19.750,19.108,NA,17.650,NA,7.770
10/2,18.975,17.160,19.142,17.077,17.296,19.263,18.583,NA,17.400,NA,3.736
10/3,18.950,17.018,19.059,17.320,17.142,18.946,18.308,NA,17.313,NA,3.096
10/4,18.995,16.962,18.793,17.006,16.963,18.633,18.154,NA,17.192,NA,3.088
10/5,18.822,16.824,18.625,16.706,16.646,18.438,18.042,NA,17.125,NA,3.104
10/6,18.983,16.861,18.380,16.461,16.246,18.438,17.817,NA,16.938,NA,2.929
10/7,18.466,16.955,18.136,16.033,16.021,18.354,17.483,NA,16.604,NA,2.433
10/8,18.369,16.733,17.958,15.643,15.854,17.983,17.092,NA,16.308,NA,2.329
10/9,18.126,16.705,17.653,15.204,15.567,17.833,16.613,NA,16.025,NA,2.313
10/10,17.963,16.193,17.390,14.689,15.492,17.475,16.267,NA,15.913,NA,2.325
10/11,17.760,15.828,17.160,14.634,15.317,16.983,15.563,NA,15.650,NA,2.667
10/12,17.585,15.703,16.848,14.625,15.325,16.508,15.246,NA,15.367,NA,2.579
10/13,17.360,15.504,16.615,14.635,15.275,16.200,15.138,NA,15.271,NA,2.563
10/14,17.108,15.307,16.381,14.613,15.246,16.029,15.096,NA,15.233,NA,2.250
10/15,16.843,15.176,16.121,14.662,15.100,15.726,14.888,NA,15.108,NA,2.238
10/16,16.577,15.044,16.142,14.597,15.054,15.571,14.596,NA,14.867,NA,2.135
10/17,16.528,14.847,15.718,14.607,14.858,15.046,14.333,NA,14.688,NA,1.938
10/18,16.374,14.719,15.374,14.415,14.629,14.596,14.408,NA,14.471,NA,1.946
