
mm/dd,2018:LWG:tempc (C),2017:LWG:tempc (C),2016:LWG:tempc (C),2015:LWG:tempc (C),2014:LWG:tempc (C),2013:LWG:tempc (C),2012:LWG:tempc (C),2011:LWG:tempc (C),2010:LWG:tempc (C),2009:LWG:tempc (C),2008:LWG:tempc (C),2007:LWG:tempc (C),2006:LWG:tempc (C),2005:LWG:tempc (C),2004:LWG:tempc (C)
2/4,NA,NA,4.172,4.414,NA,NA,NA,NA,NA,NA,NA,NA,4.065,4.389,4.074
2/5,NA,NA,4.127,4.303,NA,NA,NA,NA,NA,NA,NA,NA,4.346,4.475,4.078
2/6,NA,NA,4.163,4.262,NA,NA,NA,NA,NA,NA,NA,NA,4.415,4.558,3.967
2/7,NA,NA,4.048,4.256,NA,NA,NA,NA,NA,NA,NA,NA,4.504,4.552,3.843
2/8,NA,NA,4.072,4.357,NA,NA,NA,NA,NA,NA,NA,NA,4.496,4.491,3.612
2/9,NA,NA,3.909,4.737,NA,NA,NA,NA,NA,NA,NA,NA,4.244,4.432,3.579
2/10,NA,NA,3.997,5.333,NA,NA,NA,NA,NA,NA,NA,NA,4.018,4.295,3.540
2/11,NA,NA,3.938,5.663,NA,NA,NA,NA,NA,NA,NA,NA,3.840,4.231,3.262
2/12,NA,NA,3.948,5.772,NA,NA,NA,NA,NA,NA,NA,NA,3.719,4.053,3.177
2/13,NA,NA,4.186,5.791,NA,NA,NA,NA,NA,NA,NA,NA,3.616,3.950,3.150
2/14,NA,NA,4.398,5.808,NA,NA,NA,NA,NA,NA,NA,NA,3.423,3.930,3.140
2/15,NA,NA,4.549,5.830,NA,NA,NA,NA,NA,NA,NA,NA,3.250,3.870,3.175
2/16,NA,NA,4.613,5.786,NA,NA,NA,NA,NA,NA,NA,NA,3.142,5.038,3.240
2/17,NA,NA,4.829,5.799,NA,NA,NA,NA,NA,NA,NA,NA,2.946,3.598,3.312
2/18,NA,NA,5.369,5.710,NA,NA,NA,NA,NA,NA,NA,NA,2.747,3.533,3.316
2/19,NA,NA,5.474,5.554,NA,NA,NA,NA,NA,NA,NA,NA,2.580,3.525,3.177
2/20,NA,NA,5.280,5.375,NA,NA,NA,NA,NA,NA,NA,NA,2.358,3.553,3.055
2/21,NA,NA,5.218,5.126,NA,NA,NA,NA,NA,NA,NA,NA,2.202,3.551,3.065
2/22,NA,NA,5.288,4.819,NA,NA,NA,NA,NA,NA,NA,NA,2.100,3.707,3.216
2/23,NA,NA,5.410,4.788,NA,NA,NA,NA,NA,NA,NA,NA,2.195,3.809,3.628
2/24,NA,NA,5.310,4.913,NA,NA,NA,NA,NA,NA,NA,NA,2.377,3.795,3.933
2/25,NA,NA,5.217,5.147,NA,NA,NA,NA,NA,NA,NA,NA,2.575,3.700,3.977
2/26,NA,NA,4.976,5.044,NA,NA,NA,NA,NA,NA,NA,NA,2.924,3.642,4.144
2/27,NA,NA,5.038,4.860,NA,NA,NA,NA,NA,NA,NA,NA,3.297,3.650,4.187
2/28,NA,NA,5.030,4.645,NA,NA,NA,NA,NA,NA,NA,NA,3.640,3.520,4.093
2/29,NA,NA,4.977,NA,NA,NA,4.103,NA,NA,NA,NA,NA,NA,NA,4.176
3/1,NA,NA,5.052,4.647,NA,NA,4.118,NA,NA,NA,NA,NA,3.843,3.488,4.218
3/2,NA,NA,5.208,4.664,NA,NA,4.088,NA,NA,NA,NA,NA,3.917,3.717,4.312
3/3,NA,NA,5.390,5.078,NA,NA,4.063,NA,NA,NA,NA,NA,4.170,4.114,4.445
3/4,NA,NA,5.622,5.203,NA,NA,4.139,NA,NA,NA,NA,NA,4.553,4.274,4.673
3/5,NA,NA,5.701,5.369,NA,NA,4.452,NA,NA,NA,NA,NA,4.795,4.587,4.703
3/6,NA,NA,5.859,5.503,NA,NA,4.565,NA,NA,NA,NA,NA,4.769,4.807,4.702
3/7,NA,NA,5.923,5.602,NA,NA,4.515,NA,NA,NA,NA,NA,4.555,4.917,4.787
3/8,NA,NA,6.211,5.557,NA,NA,4.669,NA,NA,NA,NA,NA,4.646,5.314,4.963
3/9,NA,NA,6.370,5.380,NA,NA,5.037,NA,NA,NA,NA,NA,4.575,5.540,4.790
3/10,NA,NA,6.839,5.238,NA,NA,5.294,NA,NA,NA,NA,NA,4.568,6.386,4.690
3/11,NA,NA,6.846,5.328,NA,NA,5.290,NA,NA,NA,NA,NA,4.663,6.589,4.932
3/12,NA,NA,6.779,5.760,NA,NA,5.133,NA,NA,NA,NA,NA,4.575,6.238,5.148
3/13,NA,5.499,6.768,6.356,NA,5.268,5.285,NA,NA,NA,NA,NA,4.335,6.348,5.642
3/14,NA,5.859,6.750,6.618,NA,5.570,5.726,NA,NA,NA,NA,NA,4.303,6.860,5.762
3/15,NA,6.172,6.842,7.118,NA,5.535,6.068,5.431,NA,NA,NA,NA,4.319,7.287,5.926
3/16,NA,6.339,7.100,7.825,NA,5.581,5.896,5.550,NA,NA,NA,NA,4.439,7.478,5.955
3/17,NA,6.228,7.122,7.676,5.891,5.782,6.058,5.833,6.600,NA,NA,NA,4.881,7.413,6.181
3/18,NA,6.207,7.022,7.967,5.930,6.111,6.333,5.805,6.458,NA,5.551,NA,5.312,7.589,6.609
3/19,NA,6.763,6.875,8.290,6.194,6.497,6.217,5.821,6.526,NA,5.543,NA,5.625,7.760,6.835
3/20,NA,6.953,7.058,8.354,6.396,6.764,6.067,5.935,7.004,NA,5.644,7.078,5.945,8.024,7.261
3/21,6.015,6.988,7.224,8.224,6.282,6.773,5.831,6.138,7.256,NA,5.729,7.643,6.178,7.666,7.466
3/22,6.068,7.312,7.339,8.314,6.259,6.615,5.812,6.099,7.264,NA,5.742,8.153,6.247,7.745,7.900
3/23,6.246,7.704,7.626,8.440,6.342,6.341,5.757,5.999,7.581,NA,5.760,8.086,6.364,7.515,7.719
3/24,6.467,7.931,8.209,8.505,6.385,6.241,5.767,6.265,8.080,NA,5.784,7.757,6.386,7.377,7.493
3/25,6.471,7.839,8.044,8.567,6.427,6.257,6.112,6.651,8.007,6.373,5.947,7.408,6.617,7.209,8.064
3/26,6.487,7.850,7.851,8.504,6.424,6.358,6.367,6.875,7.958,6.428,6.209,7.307,6.726,7.174,8.592
3/27,6.623,7.930,7.945,8.465,6.616,6.213,6.887,7.087,7.946,6.435,6.408,7.650,6.779,7.300,8.583
3/28,6.761,8.118,7.782,8.125,6.818,5.917,7.379,7.225,8.053,6.363,6.473,7.799,6.952,7.415,8.661
3/29,6.935,8.106,7.652,8.153,7.048,5.898,7.254,7.325,8.125,6.258,6.317,7.579,6.859,7.370,8.895
3/30,7.352,8.123,7.743,8.895,7.280,6.515,7.520,7.478,8.262,6.174,6.369,7.468,6.828,7.142,8.679
3/31,7.692,8.167,7.829,9.204,7.279,7.156,7.583,7.410,8.243,6.224,6.332,7.353,7.052,7.080,8.538
4/1,8.147,8.128,8.048,9.110,7.330,7.510,7.785,7.309,8.300,6.276,6.283,7.428,7.163,7.074,8.589
4/2,8.374,8.062,8.603,8.937,7.152,8.101,7.764,7.330,8.404,6.156,6.052,7.609,7.254,7.574,9.308
4/3,8.478,8.137,9.095,8.993,7.225,8.736,7.493,7.457,8.363,6.021,6.137,7.785,7.574,7.692,9.644
4/4,8.408,8.269,9.233,8.776,7.314,9.144,7.327,7.133,8.455,5.744,6.344,7.932,7.311,7.430,9.563
4/5,8.135,8.270,9.471,8.533,7.548,8.994,7.336,6.789,8.278,6.035,6.520,8.067,7.448,7.632,9.306
4/6,8.200,8.441,9.740,8.300,7.790,9.160,7.306,6.908,7.942,6.263,6.768,8.185,8.012,7.990,9.513
4/7,8.612,8.667,9.659,8.245,7.923,9.054,7.300,7.021,7.758,6.717,6.888,8.184,8.147,8.381,10.107
4/8,9.030,8.581,9.266,8.292,8.028,8.816,7.448,6.815,7.706,7.280,6.972,8.192,8.090,8.473,10.445
4/9,9.152,8.455,9.240,8.238,8.320,8.603,7.663,6.893,7.568,7.674,7.326,8.610,8.241,8.348,10.620
4/10,8.755,8.435,9.775,8.511,8.698,8.372,7.986,7.256,7.655,8.076,7.405,9.340,8.622,8.661,11.227
4/11,8.929,8.575,10.291,8.755,9.014,7.976,8.413,7.752,7.817,8.273,7.617,10.444,8.878,9.349,11.129
4/12,9.178,8.515,10.421,8.992,8.916,7.904,8.892,8.015,8.060,8.137,7.982,10.504,8.826,9.581,11.088
4/13,9.337,8.643,10.296,9.392,8.742,8.013,9.185,8.070,8.358,8.205,8.139,10.107,8.959,9.407,10.507
4/14,9.237,8.813,9.843,9.530,8.933,7.933,9.185,7.908,8.551,7.863,8.015,9.567,9.108,9.066,10.420
4/15,8.973,8.809,9.458,9.570,8.822,7.939,9.098,8.012,8.781,8.103,8.273,9.259,9.064,9.290,10.377
4/16,9.332,8.867,9.392,9.543,8.649,8.092,9.103,8.008,9.407,7.884,8.890,9.062,9.008,9.373,10.583
4/17,9.460,9.470,9.337,9.523,8.616,8.140,9.045,8.300,9.461,7.562,8.910,9.102,8.585,9.053,10.428
4/18,9.421,9.580,9.507,9.512,8.336,8.133,8.600,8.766,10.012,7.693,8.345,9.315,8.585,8.711,10.297
4/19,9.031,9.726,10.093,9.599,8.235,8.129,8.628,9.011,10.544,8.214,8.054,9.516,8.685,8.653,10.257
4/20,9.141,9.852,10.641,10.124,8.535,8.069,9.065,8.606,10.984,8.580,8.334,9.559,8.888,9.272,9.622
4/21,9.740,10.193,11.138,10.437,9.162,7.970,9.243,8.604,11.417,9.030,8.618,9.437,9.332,10.127,9.683
4/22,10.171,10.273,11.394,10.325,9.463,7.927,9.783,8.677,12.148,9.260,8.478,9.204,9.846,10.503,10.123
4/23,10.506,10.511,11.412,10.809,9.548,8.115,10.441,8.946,12.110,9.277,7.973,9.024,10.047,10.239,10.316
4/24,10.576,10.565,10.860,11.008,9.514,8.609,10.846,8.983,11.447,9.090,7.807,9.128,9.954,9.769,10.008
4/25,10.591,10.713,10.081,11.139,8.949,8.960,10.957,9.195,10.422,8.651,7.930,9.260,9.850,10.169,10.794
4/26,10.857,10.904,9.744,10.841,8.578,9.267,10.316,9.514,10.058,8.429,8.415,9.538,9.759,11.799,11.654
4/27,11.228,10.802,10.046,10.617,8.495,9.206,9.710,9.735,10.054,8.480,8.657,10.093,9.842,12.033,11.338
4/28,11.419,10.560,10.180,10.629,8.533,9.288,8.951,9.833,9.993,8.665,8.578,10.152,10.204,11.605,11.470
4/29,11.228,10.509,10.561,10.492,8.699,9.883,8.556,9.845,9.910,8.693,8.938,10.414,10.908,12.013,12.286
4/30,10.443,10.462,10.517,10.603,8.800,10.425,8.688,9.803,10.114,8.622,9.445,10.782,11.301,12.577,12.371
5/1,9.741,10.733,10.420,11.041,8.957,10.427,9.300,9.520,10.045,8.575,10.045,11.405,11.224,12.166,12.589
5/2,9.617,11.279,10.361,11.124,9.393,10.527,9.645,9.510,9.671,9.005,9.933,11.607,10.805,11.541,12.185
5/3,9.595,11.327,10.699,11.239,10.137,9.985,9.752,9.594,9.303,9.374,9.150,11.401,10.621,11.122,11.692
5/4,9.840,11.596,11.385,11.599,11.099,9.890,10.008,9.922,9.047,9.736,9.070,10.892,10.548,11.700,12.219
5/5,10.585,12.116,11.998,11.900,11.448,10.105,9.974,10.215,9.174,9.790,9.560,10.279,10.677,11.558,12.458
5/6,11.341,12.678,12.527,12.293,11.097,10.216,10.173,10.534,9.397,9.884,10.108,9.885,11.163,11.556,12.530
5/7,11.521,11.952,12.817,12.342,10.727,10.738,10.463,10.873,9.353,10.055,10.628,9.538,11.829,11.593,12.260
5/8,11.102,10.983,12.768,12.053,10.329,11.131,10.866,11.005,9.175,9.912,10.609,9.614,12.002,11.538,12.190
5/9,10.593,10.850,12.444,11.765,10.068,11.680,11.178,11.037,9.110,9.946,10.179,9.767,11.487,11.222,12.022
5/10,10.768,11.014,12.312,11.733,10.150,12.100,11.328,10.868,9.252,10.013,9.833,10.632,11.262,10.849,11.940
5/11,10.401,11.654,11.833,11.806,10.440,12.131,11.733,10.591,9.672,10.168,9.788,11.906,11.267,10.641,11.659
5/12,9.845,12.151,11.293,11.893,10.438,11.754,11.822,10.773,10.375,10.506,9.655,12.617,11.372,10.823,11.528
5/13,9.744,11.703,11.117,12.225,10.267,11.528,11.610,11.420,11.164,10.873,9.757,12.358,11.585,11.706,11.297
5/14,10.479,10.655,11.235,12.791,10.126,11.399,11.518,11.434,11.830,10.959,9.818,12.146,12.021,11.400,10.690
5/15,11.107,10.477,11.748,12.785,10.454,10.986,11.825,11.733,12.220,10.347,9.984,12.025,12.493,11.674,10.737
5/16,11.459,10.713,12.212,12.725,11.046,10.802,12.290,11.110,12.605,10.501,10.198,11.785,12.991,11.673,10.696
5/17,11.781,10.902,11.938,13.042,11.719,10.828,12.544,9.937,12.898,10.895,10.623,11.979,13.066,11.635,11.894
5/18,11.486,10.801,11.893,12.899,12.083,10.882,12.184,9.603,13.154,11.433,11.295,12.378,12.613,11.376,12.032
5/19,11.140,10.709,12.341,12.243,11.669,11.028,11.607,10.009,13.305,12.252,11.058,12.905,12.272,11.125,12.249
5/20,11.323,11.338,13.340,12.168,10.763,10.946,11.239,10.901,12.902,12.073,10.348,13.244,11.885,11.111,12.763
5/21,11.835,11.938,13.577,12.744,10.512,10.790,11.375,11.825,11.741,10.563,9.647,12.988,11.712,11.408,12.722
5/22,11.895,12.350,12.796,13.347,10.995,10.852,11.512,12.120,11.109,10.480,8.978,12.553,11.647,11.303,12.779
5/23,12.198,12.897,12.021,13.794,11.388,11.165,11.424,11.926,10.638,10.718,8.718,12.147,11.673,11.856,12.653
5/24,12.370,13.446,11.792,14.283,11.859,11.260,11.090,11.604,10.290,11.264,8.757,11.706,12.198,11.921,12.380
5/25,12.104,13.314,11.727,14.506,11.774,11.105,10.940,11.017,10.553,11.891,9.331,11.495,12.308,12.323,12.090
5/26,12.450,12.466,12.016,14.889,11.561,11.056,11.065,10.612,10.862,11.712,10.211,11.651,12.411,12.776,12.064
5/27,12.775,11.755,12.644,15.008,11.518,11.047,11.188,10.805,11.366,11.444,10.663,12.210,12.530,13.445,12.457
5/28,12.525,11.977,13.284,14.817,11.581,11.206,11.045,10.624,11.475,11.592,10.885,12.741,12.616,13.940,12.326
5/29,13.248,12.405,13.747,14.674,11.351,11.654,11.065,10.728,11.698,11.828,10.917,12.952,12.312,14.092,11.914
5/30,13.670,13.037,13.920,14.776,11.177,12.030,11.061,11.198,11.971,12.199,10.835,13.097,12.102,14.970,11.330
5/31,13.928,13.394,14.358,15.211,11.690,12.390,11.580,11.444,12.363,12.375,10.743,12.850,12.226,15.149,10.901
6/1,13.424,13.392,14.801,16.004,12.210,12.349,12.146,11.678,12.372,12.467,10.972,13.131,12.821,15.066,11.446
6/2,13.190,13.375,15.026,16.111,12.447,12.318,12.765,11.658,12.590,12.375,11.210,13.774,13.407,14.676,12.052
6/3,13.384,13.103,15.346,16.129,12.695,12.759,13.370,11.312,12.550,12.354,11.230,14.511,13.788,13.924,13.057
6/4,13.855,13.316,15.512,16.208,12.789,13.008,13.790,11.160,12.216,12.576,10.597,15.165,14.216,13.690,13.692
6/5,14.219,13.459,15.594,16.179,12.829,13.420,12.968,11.665,11.536,12.907,10.243,15.820,14.421,13.320,14.145
6/6,14.662,13.769,16.039,15.972,13.105,13.969,12.633,12.220,11.277,13.317,10.104,16.349,14.182,13.016,14.556
6/7,15.091,14.024,16.597,15.943,13.283,14.335,12.203,12.380,11.539,13.378,10.506,16.267,14.189,13.098,14.438
6/8,15.581,14.350,17.386,16.687,13.323,14.976,11.588,11.921,11.986,12.772,10.797,15.787,14.670,13.737,13.791
6/9,15.823,14.462,17.938,17.160,13.397,15.445,11.245,11.270,12.158,12.685,10.803,14.608,14.613,13.873,13.264
6/10,15.848,14.222,18.182,19.059,13.623,15.645,11.060,11.034,12.351,13.070,11.127,13.835,14.123,13.540,13.117
6/11,15.854,13.901,17.907,18.320,14.036,15.607,11.294,11.282,12.320,13.470,11.293,13.584,14.022,13.787,13.110
6/12,15.237,13.801,17.617,18.790,14.185,15.640,11.616,11.838,12.312,13.920,11.133,13.855,14.498,13.784,12.920
6/13,15.035,13.791,17.135,19.370,14.010,15.554,11.988,12.459,12.558,14.310,10.516,14.078,14.593,14.155,13.027
6/14,14.840,14.049,16.925,19.552,14.052,15.573,12.523,12.598,13.201,14.711,10.931,14.276,14.669,13.851,13.414
6/15,14.984,13.806,16.709,19.538,14.050,15.680,13.233,12.458,13.749,14.818,11.776,15.030,14.550,14.060,14.128
6/16,15.445,13.428,16.776,19.400,13.715,15.681,13.805,12.403,13.900,14.737,12.582,15.066,14.547,15.022,15.051
6/17,16.064,13.519,16.520,19.151,13.030,15.666,13.957,12.013,13.617,14.858,13.076,15.450,14.725,14.989,15.803
6/18,16.375,14.165,15.742,19.018,12.774,15.700,14.243,12.147,13.081,15.108,13.480,15.770,14.915,15.173,16.041
6/19,16.088,14.725,15.347,19.014,12.805,16.205,14.580,12.403,12.539,15.593,13.520,16.243,15.235,15.515,16.137
6/20,15.675,15.341,15.172,19.345,12.643,16.325,14.528,12.374,12.762,15.528,13.139,16.328,15.788,16.426,16.781
6/21,15.364,15.840,15.142,19.398,13.119,16.220,13.921,12.428,13.250,15.452,13.144,16.235,16.276,16.587,17.769
6/22,15.505,16.213,15.482,19.144,13.952,15.886,13.629,12.986,13.502,15.132,13.413,16.514,16.582,16.256,17.701
6/23,16.023,16.484,16.226,18.959,14.978,15.192,14.318,13.653,13.396,14.678,13.468,17.214,16.968,16.846,17.961
6/24,16.719,16.530,16.907,18.910,15.241,14.828,15.143,13.570,13.720,14.356,13.708,17.988,17.291,18.295,18.265
6/25,17.074,16.488,17.771,18.953,15.985,15.242,15.739,12.977,14.482,14.945,13.505,18.261,17.576,18.414,18.532
6/26,17.332,16.582,18.148,19.077,16.342,15.603,16.150,13.005,15.363,15.625,13.804,18.531,17.958,18.628,19.060
6/27,17.683,16.891,18.433,19.067,16.537,15.758,16.324,13.292,15.807,16.145,14.050,18.588,18.485,18.938,19.333
6/28,17.697,17.273,18.681,19.031,16.436,15.641,16.226,13.510,15.793,16.658,14.495,18.477,18.869,18.941,19.779
6/29,17.865,17.703,19.090,18.841,16.161,15.660,15.643,13.938,15.946,17.338,14.909,18.317,19.485,19.190,21.187
6/30,18.034,18.116,19.480,18.224,15.401,16.293,15.883,14.317,16.526,17.675,15.329,18.666,19.792,20.057,21.086
7/1,18.071,18.295,19.570,18.243,14.873,17.956,16.348,14.063,17.129,18.020,15.728,18.922,19.921,18.996,21.982
7/2,18.186,18.309,19.596,18.424,15.075,18.938,16.868,13.907,17.339,18.482,15.853,18.998,19.360,18.870,21.151
7/3,18.199,18.468,19.559,18.966,15.493,19.382,17.077,14.284,17.222,18.756,15.714,19.125,19.063,19.015,20.279
7/4,18.347,18.841,19.600,18.849,16.277,19.532,17.236,14.763,16.901,18.981,15.728,19.574,19.843,20.301,20.029
7/5,18.300,19.147,19.598,19.225,17.054,19.630,17.210,15.137,16.885,19.193,16.106,19.913,20.557,20.582,20.563
7/6,18.043,19.304,19.322,19.980,17.671,19.722,17.403,15.426,16.842,19.149,16.327,19.960,20.533,19.460,21.179
7/7,17.880,19.409,19.169,20.545,17.883,19.647,17.538,15.663,16.845,19.121,16.353,19.499,20.654,19.505,19.843
7/8,18.110,19.669,19.085,20.906,18.308,19.383,17.908,15.808,16.926,19.093,16.645,19.388,20.397,19.685,20.004
7/9,18.436,19.867,19.000,20.872,18.603,19.396,18.603,15.708,16.987,18.994,17.089,19.410,19.750,20.095,20.471
7/10,18.387,19.997,18.848,20.832,18.588,19.570,19.169,15.683,17.215,18.735,17.304,19.423,19.174,20.315,19.385
7/11,18.790,20.260,18.648,20.645,18.822,19.398,19.414,15.650,17.676,18.596,17.720,19.003,19.205,20.473,19.290
7/12,19.021,20.225,18.571,20.043,18.820,19.212,19.328,15.825,18.084,18.640,18.010,19.041,19.220,19.949,20.741
7/13,19.126,20.163,18.121,19.233,18.683,19.293,19.260,16.158,18.297,18.493,18.092,19.163,19.489,19.539,20.635
7/14,19.024,20.061,17.608,18.661,18.666,19.213,19.469,16.588,18.530,18.399,17.878,18.903,19.465,20.302,21.181
7/15,18.916,19.984,17.248,18.192,18.707,19.052,19.698,16.655,18.543,18.195,17.712,19.054,19.343,21.143,20.941
7/16,19.556,19.998,17.343,18.071,18.752,18.815,19.674,16.426,18.282,18.116,17.806,18.890,19.351,20.210,19.685
7/17,19.773,20.380,17.963,18.459,19.024,18.538,19.490,16.837,17.939,18.355,17.953,18.958,19.405,20.316,21.088
7/18,19.383,20.164,18.488,19.134,19.140,18.293,19.038,17.032,18.024,18.873,17.973,18.911,19.558,20.954,22.418
7/19,19.073,19.965,18.430,19.172,19.502,18.474,18.740,17.300,18.272,19.036,18.265,18.684,19.626,20.705,21.951
7/20,19.053,19.761,18.633,18.693,19.605,19.005,18.841,17.665,18.512,19.335,18.356,19.061,19.705,20.734,21.833
7/21,19.058,19.943,18.526,18.531,19.235,19.049,19.242,17.888,18.483,19.707,18.373,18.987,19.604,21.578,20.863
7/22,19.665,19.918,18.395,18.522,19.099,19.036,19.823,17.875,18.323,19.638,18.371,19.244,19.521,21.305,21.852
7/23,19.957,19.898,18.470,18.968,19.245,19.041,19.978,18.018,18.368,19.561,18.436,18.872,19.406,20.673,22.811
7/24,19.945,19.824,18.792,18.951,19.054,18.904,19.878,18.050,18.600,19.478,18.348,18.452,19.475,20.327,24.238
7/25,19.408,19.714,19.070,18.898,19.095,18.896,19.657,18.108,18.597,19.503,18.136,19.039,19.567,20.069,23.030
7/26,19.254,19.839,18.943,18.824,19.328,18.858,19.427,18.201,18.550,19.434,17.673,19.355,19.800,20.988,21.285
7/27,19.777,19.799,18.437,18.939,19.617,18.592,19.111,18.569,18.313,19.289,17.775,18.935,20.139,21.771,21.247
7/28,19.640,19.778,18.402,19.530,19.476,18.795,18.748,18.893,18.360,19.446,18.358,18.670,19.663,21.864,21.873
7/29,19.818,19.819,18.790,19.371,18.906,19.276,18.964,18.775,18.418,19.657,18.636,18.600,19.327,21.089,22.821
7/30,20.130,19.865,18.447,19.543,18.802,19.040,19.073,18.704,18.205,19.546,18.557,18.485,19.562,21.153,22.645
7/31,20.065,20.066,18.327,19.512,18.813,19.040,19.088,18.784,18.283,19.786,18.868,18.996,19.610,21.374,22.764
8/1,19.890,20.235,18.795,19.811,19.048,18.699,19.170,18.872,18.150,19.778,18.672,19.378,19.345,20.494,22.848
8/2,19.297,20.325,18.605,19.952,19.145,18.619,19.098,19.179,18.722,19.326,18.557,19.779,19.033,20.090,21.907
8/3,19.163,20.312,18.838,19.816,19.055,18.550,18.895,19.359,19.334,19.027,18.675,18.944,18.829,21.112,22.077
8/4,19.243,20.492,18.810,19.271,19.167,18.509,18.858,19.568,18.899,19.142,18.729,19.025,18.666,22.029,22.245
8/5,19.373,20.329,19.086,19.021,19.515,18.267,19.198,19.773,18.888,18.884,18.948,19.116,18.532,22.284,21.930
8/6,19.365,20.327,18.680,19.382,19.133,18.325,19.277,19.804,18.930,19.149,18.877,19.314,18.875,22.030,21.143
8/7,19.721,20.639,18.228,20.061,19.128,18.312,19.312,19.794,18.995,18.672,18.820,18.991,19.201,21.057,21.184
8/8,19.940,20.716,18.403,20.111,19.083,18.596,19.138,19.483,19.123,18.757,18.922,18.431,18.753,21.853,22.060
8/9,20.312,20.599,18.802,19.965,19.386,18.161,18.993,19.084,18.946,18.935,19.141,18.483,18.738,22.311,22.822
8/10,20.065,20.429,18.731,19.893,19.683,18.141,18.990,18.770,18.946,18.513,19.179,18.198,19.143,20.967,23.153
8/11,19.390,20.153,18.146,20.228,19.534,18.115,18.494,18.699,19.250,18.313,19.395,19.094,19.540,20.765,23.235
